id,row,number,section,x,y,left,right
1,A,1,FC,1335,191,None,2
2,A,2,FC,1365,192,1,3
3,A,3,FC,1395,193,2,4
4,A,4,FC,1425,193,3,5
5,A,5,FC,1455,193,4,6

# Lines are ommitted for brevity

1413,FF,66,BR,2546,1015,1412,1414
1414,FF,67,BR,2576,1010,1413,1415
1415,FF,68,BR,2606,1005,1414,1416
1416,FF,69,BR,2636,1000,1415,1417
1417,FF,70,BR,2666,996,1416,None
